area,tipo,nome,link,responsavel,ativo,,,
Planejamento,Power BI,Daily Inventory,Daily Inventory Dashboard - Power BI,,Sim,,,
Planejamento,Power BI,Parâmetros do MRP,Dashboard - Parametros_MRP - Power BI,,,,,
Planejamento,Power BI,Nivelamento de Produção,Nivelamento_de_Produção_LAG - Power BI,,,,,
Planejamento,Power BI,Análise do eCapacity e eProcurement,GM eCeP Overview - Power BI,,,,,
Planejamento,Sistema,ePFEP,PFEP,,,,,
Planejamento,Sistema,eCapacity e eProcurement,eCapacity and eProcurement – Home,,,,,
Logística,Power BI,Transportes,Transport_Control_DataLedge - Power BI,,,,,
Logística,Power BI,Frete especial,Processos Em andamento - Dashboard - Frete Especial - LAG - Power BI,,,,,
Logística,Sistema,Janela de Transportadora,LAG_PWAPP_00006_Receipt_and_Delivery_Windows - Power Apps,,,,,
Logística,Power BI,Lead time de transporte,LAG_BIA_00178_CutOff_Curriers - Power BI,,,,,
Logística,Sistema,Romaneio eletrônico,Romaneio Eletrônico,,,,,
Logística,Power BI,Transportation Analytics,Microsoft Power BI,,,,,
Comex,Power BI,Landed,Report Full Analysis - _LAG_Landed_Report - Power BI,,,,,
Comex,Power BI,BI de Importação – Lecom,Dashboard - Lecom - eComex - Power BI,,,,,
Comex,Power BI,BI de Importação,Shipment Status - Detail - Comex Process - Power BI,,,,,
Comex,Power BI,Controle de Claims,Power BI,,,,,
Comex,Power BI,BI de Exportação – Lecom,LAG_BIA_00166_Export_Flow - Power BI,,,,,
Comex,Power BI,BI de Exportação, Operações - Processos de Exportação - Power BI,,,,,
Comex,Power BI,BI DUIMP, DUIMP Readiness - DUIMP Readiness - Power BI,,,,,
Comex,Power BI,BI CTLogistics,Postagem - CT-Logistics - Power BI,,,,,
Comex,Power BI,Projetos de Comex,Projects Dashboard - Foreign Trade Projects - Power BI,,,,,
Comex,Power BI,Lançamento de NF Comex,Power BI,,,,,
Comex,Power BI,Global Transportation Performance,Microsoft Power BI,,,,,
Comex,Power BI,Exportação Index Financeiro,Power BI,,,,,
Comex,Power BI,Trade Compliance Journey Assessment,Microsoft Power BI,,,,,
Compras,Power BI,WADPO,WADPO - Power BI,,,,,
Compras,Power BI,Category Management,Microsoft Power BI,,,,,
Compras,Power BI,WADPO Invoices - Delta entre WADPO negociado x WADPO NF,Microsoft Power BI,,,,,
Compras,Power BI,Compras MSG,Dashboard - MSG - Purchase Control - Power BI,,,,,
Compras,Power BI,Compras corporativas,BIA_00156_Corporate_Purchase - Power BI,,,,,
Lean,Power BI,Sharepoint LAG,LAG OPERATIONAL EXCELLENCE – Home,,,,,
Lean,Power BI,BI de Kaizen,Dashboard - Kaizen Follow Up - Power BI,,,,,
Qualidade,Power BI,TIB,https://app.powerbi.com/groups/me/reports/135b9630-5169-4e58-96a0-1c25ed275a39?ctid=b5da5f35-6442-4f5a-9622-92ec6a535127&experience=power-bi,,,,,
Pricing,Power BI,Painel de pricing,Menu - Painel de Pricing 2.0 Rev.B - Power BI,,,,,
Pricing,Power BI,TIB Pricing,OCM - Team Improvement Board - Power BI,,,,,
